county,all_industries,nat_resource_mining,construction,manufacturing,trade_trans_util,information,financial,prof_bus_services,education_health,leisure_hospitality,other_x,government,housing_units,highway_miles,lane_miles,number_of_bridges,state_facilities,facilities_sq_ft,conservation_lands,con_land_acres,non_cons_lands,non_con_acreage,revenue_(000),revenue_per_capita,tota_spending_(000),spending_per_capita,spending_pct_revenue,govt_service_spending,ggs_per_capita,ggs_pct_revenue,public_safety_(000),ps_per_capita,ps_pct_revenue,phys_env_(000),pe_per_capita,pe_pct_revenue,transportation_(000),transp_per_capita,transp_pct_revenue,economic_environment_(000),ee_per_capita,ee_pct_revenue,human_services_(000),hs_per_capita,hs_pct_revenue,num_emp_rca_Accommodation & Food Service,num_emp_rca_Admin._Support_Waste Management Services,num_emp_rca_Agriculture_Forestry_Fishing_Hunting,num_emp_rca_Arts_Entertainment_Recreation,num_emp_rca_Construction,num_emp_rca_Educational Services,num_emp_rca_Finance & Insurance,num_emp_rca_Healthcare & Social Assistance,num_emp_rca_Information,num_emp_rca_Management of Companies & Enterprises,num_emp_rca_Manufacturing,num_emp_rca_Mining_Quarrying_Oil_Gas Extraction,num_emp_rca_Other services_except public administration,num_emp_rca_Professional_Scientific_Tech Services,num_emp_rca_Public Admin.,num_emp_rca_Real Estate_Rental & Leasing,num_emp_rca_Retail trade,num_emp_rca_Transportation & Warehousing,num_emp_rca_Utilities,num_emp_rca_Wholesale trade,biomass,coal,hydroelectric,natural gas,nuclear,other_y,petroleum,solar,ihProgramDeclared_Coastal Storm,ihProgramDeclared_Fire,ihProgramDeclared_Flood,ihProgramDeclared_Freezing,ihProgramDeclared_Human Cause,ihProgramDeclared_Hurricane,ihProgramDeclared_Severe Storms,ihProgramDeclared_Tornado,iaProgramDeclared_Coastal Storm,iaProgramDeclared_Fire,iaProgramDeclared_Flood,iaProgramDeclared_Freezing,iaProgramDeclared_Human Cause,iaProgramDeclared_Hurricane,iaProgramDeclared_Severe Storms,iaProgramDeclared_Tornado,paProgramDeclared_Coastal Storm,paProgramDeclared_Fire,paProgramDeclared_Flood,paProgramDeclared_Freezing,paProgramDeclared_Human Cause,paProgramDeclared_Hurricane,paProgramDeclared_Severe Storms,paProgramDeclared_Tornado,hmProgramDeclared_Coastal Storm,hmProgramDeclared_Fire,hmProgramDeclared_Flood,hmProgramDeclared_Freezing,hmProgramDeclared_Human Cause,hmProgramDeclared_Hurricane,hmProgramDeclared_Severe Storms,hmProgramDeclared_Tornado,number of claims_irma,closed claims (paid)_irma,closed claims (not paid)_irma,number claims open_irma,percent claims closed_irma,number of claims_michael,closed claims (paid)_michael,closed claims (not paid)_michael,number claims open_michael,percent claims closed_michael,foreign_avg,us_avg,avg_age,hospitals
monroe,4494,44,544,85,939,57,517,803,275,720,380,89,52764,119.2,300.9,58,131,368098,2062,68032.0,108,561.5,428503.6,5634.72,421662.55,5544.76,98.4,56892.96,748.13,13.3,108409.72,1425.56,25.3,67128.13,882.72,15.7,25554.64,336.04,6.0,35331.69,464.6,8.2,30166.8,396.69,7.0,2.8923,0.9836370000000001,1.35063,1.89107,1.15691,0.576325,0.57892,0.625323,0.672764,0.6166229999999999,0.23400300000000002,0.256062,0.8938879999999999,0.767658,1.35495,2.3074,1.08595,0.968983,1.80223,0.644101,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,6.0,3.0,1.0,1.0,4.0,0.0,0.0,1.0,19.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,3.0,0.0,"30,896 ","18,174 ","10,411 ","2,311 ",92.5%,0,0,0,0,0,45.5,47.1,46.3,4
nassau,2166,36,296,46,438,26,203,423,202,234,193,45,35009,111.5,403.9,65,61,132316,95,25294.0,118,9142.7,120258.6,1544.93,114411.36,1469.81,95.1,22278.15,286.2,18.5,42981.44,552.17,35.7,4073.7,52.33,3.4,8217.72,105.57,6.8,4532.56,58.23,3.8,3712.83,47.7,3.1,1.24911,1.15615,0.514876,1.1993200000000002,1.31492,0.6791659999999999,0.8567620000000001,0.967834,0.9199959999999999,0.8088069999999999,0.759202,0.26577399999999995,1.01034,0.7950229999999999,1.1518899999999999,1.30964,1.0489899999999999,1.50948,1.83211,0.835199,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,4.0,1.0,0.0,4.0,1.0,0.0,0.0,10.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,"4,122 ","2,813 ","1,159 ",150 ,96.4%,0,0,0,0,0,48.9,44.4,46.65,1
okaloosa,6373,21,761,159,1220,69,704,1324,667,750,492,142,92407,215.5,705.4,85,87,420233,169,62924.0,65,214.9,265033.9,1373.77,233687.56,1211.29,88.2,59252.49,307.13,22.4,67737.52,351.11,25.6,35750.51,185.31,13.5,32073.83,166.25,12.1,9174.47,47.55,3.5,4783.44,24.79,1.8,1.60102,1.07918,0.32545799999999997,1.06541,1.13973,0.68095,0.727122,0.732487,0.44698000000000004,0.47779099999999997,0.49449099999999996,0.18253699999999998,1.2643799999999998,1.11427,2.33052,1.88789,1.13662,0.856101,1.15242,0.520233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,3.0,0.0,0.0,6.0,2.0,0.0,0.0,1.0,4.0,0.0,0.0,17.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,0.0,266 ,165 ,93 ,8 ,97.0%,0,0,0,0,0,45.1,35.8,40.45,6
okeechobee,986,95,149,27,202,10,58,138,103,88,72,37,18509,103.6,241.9,37,160,746219,27,47439.8,87,1698.8,49990.7,1225.08,47125.8,1154.87,94.3,8195.96,200.85,16.4,21806.26,534.39,43.6,2882.07,70.63,5.8,6126.68,150.14,12.3,625.6,15.33,1.3,2103.73,51.55,4.2,1.03152,1.33921,8.47697,0.9795729999999999,1.4763700000000002,0.9856659999999999,0.528846,0.717137,0.378929,0.0,0.366752,0.125529,1.3289600000000001,0.280194,0.979533,0.501728,1.29043,0.951833,2.67693,0.967893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,6.0,2.0,0.0,1.0,5.0,0.0,0.0,0.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,"3,837 ","3,040 ",681 ,116 ,97.0%,0,0,0,0,0,42.9,39.5,41.2,1
orange,42190,180,4080,1107,8557,796,4710,10366,4186,4148,3153,228,487839,399.5,1977.5,586,206,2088154,166,49274.2,96,2617.8,2780423.5,2171.55,2614386.18,2041.87,94.0,286618.98,223.85,10.3,569874.41,445.08,20.5,323734.3,252.84,11.6,205491.37,160.49,7.4,283309.65,221.27,10.2,170148.05,132.89,6.1,1.65965,1.49305,0.509908,3.2648200000000003,0.9931260000000001,0.8627459999999999,0.703118,0.778014,0.724772,1.01006,0.46570100000000003,0.0501819,0.8810049999999999,0.9761770000000001,0.584443,1.8253700000000002,1.00727,1.1655200000000001,0.794719,0.9752930000000001,1.0,1.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,1.0,0.0,5.0,0.0,5.0,2.0,0.0,0.0,5.0,1.0,0.0,0.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,"75,003 ","48,116 ","22,901 ","3,986 ",94.7%,0,0,0,0,0,42.8,31.2,37.0,17
osceola,6983,44,851,134,1447,82,794,1272,835,793,545,56,128170,202.7,748.4,143,44,141259,159,79678.8,54,434.6,675261.3,2091.49,654378.54,2026.81,96.9,172012.72,532.77,25.5,183505.52,568.37,27.2,19059.79,59.03,2.8,56466.46,174.89,8.4,81336.58,251.92,12.0,12654.06,39.19,1.9,1.74095,1.48543,0.32666100000000003,4.32514,0.89869,0.719592,0.41459799999999997,0.6966289999999999,0.753496,2.39831,0.22214499999999998,0.208274,1.0968,0.46950699999999995,0.6321859999999999,1.36247,1.35351,1.6596099999999998,1.1413200000000001,1.24224,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,5.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,"28,966 ","19,616 ","7,549 ","1,801 ",93.8%,0,0,0,0,0,50.6,32.9,41.75,6
palm beach,56336,440,5266,1372,9699,837,6607,14602,6741,4123,5616,269,664594,476.6,2282.1,280,141,1500545,1286,210014.2,178,24711.4,3066328.5,2203.23,2922522.59,2099.9,95.3,626350.34,450.05,20.4,851707.31,611.97,27.8,432603.44,310.84,14.1,238547.38,171.4,7.8,85695.68,61.57,2.8,82454.15,59.25,2.7,1.15236,1.6742700000000001,0.713061,1.4137,1.27251,0.79018,0.770713,0.949543,0.872735,0.7869510000000001,0.422785,0.0578255,1.29748,1.02873,0.827535,1.82885,1.1405100000000001,0.814126,1.41735,0.789887,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,6.0,1.0,0.0,0.0,3.0,1.0,1.0,1.0,16.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,"45,405 ","25,586 ","16,113 ","3,706 ",91.8%,0,0,0,0,0,46.6,43.5,45.05,20
pasco,10872,100,1407,321,2235,107,1066,2218,1410,929,848,83,228928,198.6,840.6,78,50,375979,47,9669.6,61,208.7,797353.8,1608.0,696589.98,1404.79,87.4,154065.55,310.7,19.3,199884.49,403.1,25.1,175563.78,354.05,22.0,51832.01,104.53,6.5,12900.03,26.02,1.6,14984.46,30.22,1.9,0.948209,1.4431399999999999,0.626798,0.9536389999999999,1.56806,0.829139,1.0784,1.11376,0.48186599999999996,1.5613,0.49763500000000005,0.26269699999999996,1.03376,0.8848659999999999,0.753142,0.781466,1.33043,0.799081,1.57887,0.9686969999999999,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,1.0,1.0,1.0,5.0,0.0,5.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,11.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,"9,142 ","4,766 ","4,094 ",282 ,96.9%,0,0,0,0,0,52.2,43.8,48.0,10
pinellas,32960,50,3049,1328,6034,502,3925,7756,3929,3033,2755,183,503634,221.3,1076.0,186,102,721303,135,8484.8,316,359.5,1460857.3,1530.38,1337168.24,1400.81,91.5,265132.71,277.75,18.1,494525.17,518.06,33.9,251208.73,263.16,17.2,75511.55,79.11,5.2,70349.71,73.7,4.8,67091.12,70.28,4.6,1.12456,1.2150299999999998,0.247218,1.17192,0.8174859999999999,0.684446,1.42832,1.17402,0.8077840000000001,2.1499099999999998,0.7649520000000001,0.142456,0.974937,1.11782,0.885827,1.32146,1.14733,0.729352,0.68662,0.801625,1.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,4.0,4.0,1.0,1.0,5.0,0.0,0.0,0.0,12.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,"25,839 ","14,533 ","10,437 ",869 ,96.6%,0,0,0,0,0,51.6,47.2,49.40000000000001,17
polk,13250,279,1614,538,3145,126,1363,2346,1370,1130,1037,158,281214,462.2,1669.3,194,410,2430711,322,76201.2,133,1672.5,787959.1,1217.89,752137.16,1162.52,95.5,173590.49,268.31,22.0,237383.28,366.9,30.1,84567.56,130.71,10.7,81045.01,125.26,10.3,17290.02,26.72,2.2,62715.55,96.93,8.0,1.24476,1.49952,1.78653,2.45712,1.17939,0.821051,0.882948,0.703108,0.605694,0.0,0.693613,0.315915,0.8210209999999999,0.556304,0.899144,1.28446,1.49214,1.0173,0.793848,0.904164,1.0,0.0,0.0,11.0,0.0,3.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,3.0,1.0,0.0,7.0,0.0,0.0,0.0,9.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,7.0,2.0,0.0,"53,856 ","37,562 ","14,442 ","1,852 ",96.6%,0,0,0,0,0,44.8,39.1,41.95,6
putnam,1443,48,184,48,317,14,104,191,190,143,122,67,37337,140.7,377.2,28,115,288379,243,63203.6,90,422.9,117127.7,1605.1,35918.45,1443.2,97.5,12452.79,500.35,33.8,7804.46,313.58,21.2,429.25,17.25,1.2,9110.08,366.04,24.7,1194.64,48.0,3.2,635.5,25.53,1.7,1.07149,1.2300799999999998,3.66086,0.522696,1.45394,0.965317,0.548248,0.9415889999999999,0.584809,0.0,0.852542,0.156243,0.9379620000000001,0.535447,1.1203,1.13237,1.3429799999999998,0.653295,1.76794,0.571407,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,3.0,2.0,1.0,1.0,4.0,0.0,0.0,0.0,9.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,"3,082 ","2,040 ",981 ,61 ,98.0%,0,0,0,0,0,42.4,44.8,43.6,1
st johns,7274,59,732,157,1354,113,867,1744,760,750,591,61,64760,196.2,565.0,56,203,1394712,318,150361.5,74,1020.8,155793.9,932.85,162725.36,2585.28,98.8,27946.65,444.0,17.0,45020.47,715.26,27.3,10324.79,164.03,6.3,22515.34,357.71,13.7,34493.44,548.01,20.9,2221.1,35.29,1.3,1.0732700000000002,1.03235,0.323808,1.7440900000000001,0.813591,0.9161940000000001,1.9847400000000002,0.84945,0.774231,1.7166599999999999,0.6092420000000001,0.112022,0.9192629999999999,1.26665,1.0299399999999999,1.6754900000000001,1.07198,0.8255610000000001,0.670329,1.12802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,5.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,11.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,"11,168 ","7,048 ","3,657 ",463 ,95.9%,0,0,0,0,0,46.7,42.5,44.6,1
st lucie,6425,84,977,196,1249,55,570,1189,833,529,551,97,228413,159.0,666.9,119,99,183075,69,29065.2,119,118.1,950202.8,2378.25,51114.07,1617.59,97.6,6037.33,191.06,11.5,15980.68,505.73,30.5,4510.21,142.73,8.6,3078.81,97.43,5.9,453.12,14.34,0.9,850.1,26.9,1.6,0.9196120000000001,1.93665,1.73987,0.812786,1.52062,0.6356109999999999,0.587444,1.07935,1.23512,0.438854,0.568484,0.0,0.891885,0.441082,1.0495299999999999,0.99765,1.52973,1.0381799999999999,1.13629,0.785775,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,6.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,15.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,"13,060 ","8,196 ","4,150 ",714 ,94.5%,0,0,0,0,0,51.8,42.3,47.05,4
santa rosa,3399,57,524,89,621,24,369,672,353,294,272,74,181307,117.9,509.5,94,24,97142,78,11286.5,79,50.3,510093.7,1135.75,682782.18,1319.61,95.9,139221.58,269.07,19.5,174314.46,336.9,24.5,41452.07,80.11,5.8,93123.77,179.98,13.1,35234.12,68.1,4.9,20539.28,39.7,2.9,1.07121,1.05545,0.78672,0.567112,1.20287,0.8515870000000001,0.8808299999999999,1.01642,0.664425,0.0,0.5553710000000001,0.81213,1.19336,0.9853270000000001,1.83329,1.1656,1.15047,1.06932,1.35758,0.6115520000000001,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,6.0,2.0,0.0,0.0,1.0,4.0,0.0,0.0,17.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,0.0,472 ,325 ,138 ,9 ,98.1%,0,0,0,0,0,49.5,38.5,44.0,4
sarasota,15916,58,2138,443,2746,190,1937,3716,1840,1203,1368,99,89830,185.8,671.8,71,138,1293774,137,51982.0,304,2704.4,438127.1,1989.16,12884.01,810.98,94.9,2224.86,140.04,16.4,4435.24,279.17,32.7,1032.82,65.01,7.6,1981.18,124.7,14.6,583.08,36.7,4.3,283.9,17.87,2.1,1.1242299999999998,1.0789600000000001,1.36629,1.42317,1.5561,0.724059,0.698425,1.15306,1.1123399999999999,0.233977,0.535944,0.0682326,1.1768399999999999,0.818052,0.988558,1.6571900000000002,1.16972,0.7448739999999999,0.696336,0.60245,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,4.0,2.0,1.0,2.0,5.0,2.0,0.0,0.0,12.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,7.0,3.0,0.0,"11,994 ","6,317 ","5,208 ",469 ,96.1%,0,0,0,0,0,54.2,55.7,54.95,7
seminole,14911,48,1723,503,2933,254,1667,3650,1613,1115,1168,80,137029,166.4,689.5,84,97,550029,317,9389.0,130,1592.2,349727.5,1194.32,37044.55,1648.04,97.8,4929.98,219.32,13.0,8660.78,385.3,22.9,1511.28,67.23,4.0,5652.64,251.47,14.9,1683.13,74.88,4.4,1888.65,84.02,5.0,1.00629,1.22143,0.445117,1.26547,1.20656,0.9073690000000001,1.0754,0.995566,1.5038200000000002,2.08643,0.708104,0.06604750000000001,0.9185709999999999,1.36438,0.614734,1.17492,1.02138,0.9032030000000001,0.6668,0.760905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,1.0,0.0,5.0,0.0,5.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,9.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,0.0,"24,682 ","15,256 ","8,383 ","1,043 ",95.8%,0,0,0,0,0,47.5,37.5,42.5,5
sumter,1846,37,211,53,364,12,253,308,231,191,119,50,53026,132.2,417.0,47,113,667084,112,59558.4,21,546.3,136644.6,1152.37,66569.86,1501.05,95.0,8924.89,201.24,12.7,14575.39,328.65,20.8,3520.07,79.37,5.0,14089.99,317.71,20.1,2879.8,64.93,4.1,1104.82,24.91,1.6,1.04475,1.13242,1.0278200000000002,1.7346599999999999,1.13151,0.6724479999999999,0.683975,1.09602,0.758357,0.30028499999999997,0.45582,0.370975,1.01747,0.7223930000000001,1.23043,1.4965,1.42087,0.968591,1.57671,1.35595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,3.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,8.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,"5,260 ","3,094 ","2,080 ",86 ,98.4%,0,0,0,0,0,67.0,65.9,66.45,2
suwannee,802,69,100,22,231,7,46,92,66,60,60,43,19164,128.8,332.3,26,137,638453,26,2849.7,59,830.9,70063.2,1579.81,140637.45,1186.04,102.9,29444.44,248.31,21.5,53442.94,450.7,39.1,1791.77,15.11,1.3,21439.75,180.81,15.7,1248.98,10.53,0.9,3275.31,27.62,2.4,0.979966,0.9499850000000001,4.44482,0.572346,1.1799,0.632659,0.5403899999999999,0.955393,0.636389,1.30544,0.611118,0.642996,1.26796,0.38601399999999997,2.10495,0.898144,1.34274,1.17267,1.27922,0.868175,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,3.0,1.0,1.0,0.0,4.0,1.0,0.0,0.0,11.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,0.0,875 ,609 ,240 ,26 ,97.0%,19,12,6,1,94.7%,43.2,41.8,42.5,1
taylor,435,20,32,23,135,5,18,45,39,50,34,30,11004,110.4,318.3,47,113,626908,162,76183.2,8,1081.6,37881.0,1685.25,348690.58,1190.78,99.7,74054.34,252.9,21.2,89423.71,305.38,25.6,34784.98,118.79,9.9,28223.48,96.38,8.1,6837.47,23.35,2.0,11042.07,37.71,3.2,1.35659,0.68412,2.26235,0.142368,0.760749,1.27872,0.40930500000000003,0.9702780000000001,0.0,0.0,1.41841,0.0,0.874966,0.504575,2.3414599999999997,1.56522,1.14541,0.205817,0.0,0.405225,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,12.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,0.0,131 ,79 ,45 ,7 ,94.7%,49,31,13,5,89.8%,57.9,40.7,49.3,1
union,203,9,36,7,46,1,11,25,24,11,8,24,4508,57.6,115.2,12,313,1782359,11,347.0,34,7219.5,13574.9,854.47,389871.59,1770.08,89.0,59969.34,272.27,13.7,121599.1,552.08,27.8,65716.13,298.36,15.0,38776.54,176.05,8.9,5463.32,24.8,1.2,12336.69,56.01,2.8,0.459658,0.9650690000000001,3.4228099999999997,0.690597,0.665687,0.834615,0.8492149999999999,0.9123879999999999,0.20383800000000002,0.0,0.581303,0.0,0.95885,0.400225,4.21379,0.770918,1.14488,1.78815,0.0,0.723565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,296 ,208 ,86 ,2 ,99.3%,0,0,0,0,0,51.8,39.2,45.5,3
volusia,14295,125,1905,468,2875,145,1429,2678,1632,1475,1279,128,254226,359.6,1395.1,152,189,1442095,204,62951.5,221,1679.9,712331.2,1376.72,516631.27,1150.31,101.3,83832.62,186.66,16.4,186767.02,415.85,36.6,71067.84,158.24,13.9,76668.2,170.71,15.0,12480.99,27.79,2.4,18920.35,42.13,3.7,1.22304,1.21823,0.5946,1.1158,1.31272,0.8378209999999999,0.753404,1.04932,0.76993,0.662479,0.587152,0.283625,0.867282,0.773279,1.11723,1.30585,1.2487700000000002,1.06915,1.24629,0.986711,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,0.0,0.0,1.0,0.0,3.0,0.0,5.0,7.0,1.0,0.0,3.0,0.0,0.0,0.0,12.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,4.0,0.0,"27,297 ","18,064 ","8,029 ","1,204 ",95.6%,0,0,0,0,0,51.1,46.2,48.65000000000001,9
wakulla,536,12,103,14,107,3,31,76,46,54,53,32,12804,80.9,162.5,12,120,722436,41,12047.4,36,552.5,52356.8,1656.91,944073.37,2362.91,99.4,134103.24,335.65,14.1,218013.99,545.67,22.9,181485.74,454.24,19.1,84250.59,210.87,8.9,11045.99,27.65,1.2,20529.02,51.38,2.2,0.632242,1.41354,0.527844,0.6977770000000001,1.27186,1.05567,0.8456610000000001,0.76822,0.6373270000000001,0.0,0.489071,0.27715100000000004,0.859872,0.6447729999999999,3.9980900000000004,1.12414,0.881251,0.743758,3.17254,0.9189219999999999,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,1.0,0.0,2.0,0.0,0.0,6.0,2.0,1.0,1.0,3.0,2.0,0.0,0.0,14.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,5.0,0.0,105 ,60 ,36 ,9 ,91.4%,"1,313",774,349,190,85.5%,51.9,40.1,46.0,0
walton,2612,16,380,47,530,29,377,540,164,309,146,39,45132,203.6,553.1,60,170,440575,99,42082.9,94,885.7,164777.6,2617.89,151098.69,904.73,97.0,27264.03,163.25,17.5,54401.49,325.74,34.9,22469.28,134.54,14.4,14582.48,87.32,9.4,3494.3,20.92,2.2,5043.0,30.2,3.2,1.7742,1.5185899999999999,0.471591,0.927258,1.7012,0.542211,0.601297,0.709858,0.555584,0.529403,0.44066700000000003,0.775859,0.9909020000000001,0.9862139999999999,1.17254,3.11713,1.25875,0.7407020000000001,1.24594,0.494403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,3.0,0.0,0.0,6.0,2.0,0.0,0.0,4.0,3.0,0.0,0.0,15.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,0.0,65 ,36 ,28 ,1 ,98.5%,0,0,0,0,0,40.5,43.7,42.1,2
washington,459,19,68,14,88,4,30,67,59,38,32,38,10796,112.2,293.3,44,129,828557,28,2170.8,31,725.5,36842.0,1480.31,112598.23,1543.03,96.1,41063.39,562.73,35.1,31714.16,434.61,27.1,11788.87,161.55,10.1,12849.87,176.09,11.0,986.52,13.52,0.8,2571.18,35.24,2.2,0.9086040000000001,1.7126400000000002,1.4588,1.18,1.88011,0.5548810000000001,0.7094659999999999,1.05372,0.582608,0.0,0.456662,0.603899,0.9387260000000001,0.5724100000000001,2.2194700000000003,0.8751959999999999,1.09978,1.05034,0.7106,0.721158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,3.0,2.0,0.0,0.0,4.0,3.0,0.0,0.0,12.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,0.0,33 ,20 ,13 ,0 ,100.0%,794,315,293,186,76.6%,50.7,41.5,46.1,1
